chr1	139708	140127	MER1A	2495	-	chr1	139799	139800		2.207602	-
chr1	494910	495329	MER1A	2471	-	chr1	495040	495041		1.113707	-
chr1	598735	599301	L1MD3	1819	-	chr1	598994	598995		129.814529	+
chr1	740047	740466	MER1A	2468	-	chr1	740138	740139		1.101306	-
chr1	946777	947062	AluSx1	2206	+	chr1	947060	947061	NOC2L	1.018011	-
chr1	958244	958549	AluSx	2303	-	chr1	958458	958459	NOC2L	0.338832	-
chr1	1048489	1048789	AluSp	2439	+	chr1	1048529	1048530	AGRN	0.492557	+
chr1	1221276	1221657	AluJb	877	+	chr1	1221351	1221352	SDF4	0.348505	-
chr1	1388613	1388794	AluSg4	1260	+	chr1	1388713	1388714	CCNL2	1.900315	-
chr1	1483318	1483490	AluSp	1110	+	chr1	1483485	1483486	ATAD3B	0.197653	+
chr1	1641227	1641528	AluSx	2381	+	chr1	1641234	1641235		3.878614	-
chr1	1655404	1655487	L2	213	+	chr1	1655476	1655477		4.900463	-
chr1	1721869	1722077	AluY	1516	+	chr1	1721879	1721880	CDK11A	0.085568	-
chr1	1754824	1755118	AluSc	2380	-	chr1	1754866	1754867	NADK	0.120487	-
chr1	1754824	1755118	AluSc	2380	-	chr1	1754896	1754897	NADK	0.005043	-
chr1	1756888	1757027	MSTD	410	+	chr1	1757024	1757025	NADK	1.073093	-
chr1	3867571	3867855	AluJo	1599	+	chr1	3867663	3867664	DFFB	0.159365	+
chr1	5882790	5883001	L3	182	-	chr1	5882849	5882850	NPHP4	0.248644	-
chr1	6463328	6463444	L2a	583	+	chr1	6463347	6463348	TNFRSF25	0.189457	-
chr1	6463445	6463755	AluSc8	2538	+	chr1	6463622	6463623	TNFRSF25	0.250576	-
chr1	6584890	6585567	L2a	713	-	chr1	6585302	6585303	ZBTB48	0.074451	+
chr1	7772607	7772911	AluSp	2332	+	chr1	7772707	7772708	VAMP3	2.126713	+
chr1	7776817	7777110	AluSx1	2132	-	chr1	7777097	7777098	VAMP3	0.224189	+
chr1	9239802	9239853	Penelope1_Vert	183	+	chr1	9239844	9239845	H6PD	3.200024	+
chr1	9932053	9932361	AluSq	2117	+	chr1	9932180	9932181	LZIC	0.103238	-
chr1	10412574	10412852	L2a	510	-	chr1	10412834	10412835	PGD	0.143220	+
chr1	11055121	11055408	AluSz	1923	-	chr1	11055204	11055205	SRM	0.657908	-
chr1	11072365	11072580	MIRb	542	-	chr1	11072395	11072396	EXOSC10	0.109455	-
chr1	11073017	11073095	L1ME3	348	+	chr1	11073026	11073027	EXOSC10	0.003042	-
chr1	11115552	11115777	MER58A	921	+	chr1	11115663	11115664	MTOR	0.228086	-
chr1	11745896	11746094	MIRb	368	+	chr1	11746009	11746010	AGTRAP	0.141076	+
chr1	11745896	11746094	MIRb	368	+	chr1	11745998	11745999	AGTRAP	0.056692	+
chr1	11954188	11954497	AluSq2	2013	+	chr1	11954301	11954302	PLOD1	0.457554	+
chr1	11971482	11971667	AluSx1	1466	-	chr1	11971543	11971544	PLOD1	0.101857	+
chr1	12028380	12028823	L2a	639	+	chr1	12028721	12028722	MIIP	0.010698	+
chr1	12497121	12497324	MIRb	572	-	chr1	12497226	12497227	VPS13D	0.089319	+
chr1	16136338	16136626	AluSp	2362	+	chr1	16136396	16136397		2.634979	-
chr1	16990351	16990456	MIR	357	+	chr1	16990375	16990376		1.717731	-
chr1	17000731	17000965	AluJb	1440	+	chr1	17000847	17000848	ATP13A2	0.063055	-
chr1	17022963	17023104	L2d	256	+	chr1	17023036	17023037	SDHB	0.217340	-
chr1	17615025	17615223	MER3	980	-	chr1	17615088	17615089	ARHGEF10L	0.131253	+
chr1	17634236	17634370	MIRb	245	+	chr1	17634257	17634258	ARHGEF10L	0.151736	+
chr1	17639749	17639843	L2c	306	-	chr1	17639753	17639754	ARHGEF10L	0.110092	+
chr1	19082238	19082452	MIR	666	-	chr1	19082240	19082241	UBR4	0.002532	-
chr1	19221790	19222045	AluSz	2038	+	chr1	19221916	19221917	EMC1	1.057839	-
chr1	19271170	19271473	AluY	2452	+	chr1	19271269	19271270	AKR7L	0.056495	-
chr1	19651697	19651900	AluJr	1417	-	chr1	19651803	19651804		3.355398	+
chr1	19701162	19701471	AluSx	2321	-	chr1	19701210	19701211	TMCO4	0.065389	-
chr1	20028465	20028814	LTR46-int	5203	-	chr1	20028526	20028527	PLA2G5	0.164273	+
chr1	20028465	20028814	LTR46-int	5203	-	chr1	20028526	20028527	PLA2G5	2.055996	+
chr1	20028465	20028814	LTR46-int	5203	-	chr1	20028526	20028527		1.857816	+
chr1	20028465	20028814	LTR46-int	5203	-	chr1	20028526	20028527		1.085824	+
chr1	20750214	20750322	AluSx1	1658	+	chr1	20750251	20750252	HP1BP3	1.142520	-
chr1	21221993	21222440	L2a	876	+	chr1	21222081	21222082	ECE1	0.047049	-
